name,sequence,correct,incorrect,date
CLF,01,7,0,2023-08-06
CLF,02,7,0,2023-08-06
CLF,03,7,0,2023-08-03
CLF,04,7,0,2023-08-09
CLF,05,7,0,2023-08-07
CLF,06,7,0,2023-08-09
CLF,07,7,0,2023-08-09
CLF,08,7,0,2023-08-07
CLF,09,7,0,2023-08-09
CLF,10,7,0,2023-08-08
CLF,11,7,0,2023-08-08
CLF,12,7,0,2023-08-09
CLF,13,7,0,2023-08-04
CLF,14,7,0,2023-08-04
CLF,15,7,0,2023-07-28
CLF,16,7,0,2023-08-04
CLF,17,7,0,2023-08-06
CLF,18,7,0,2023-08-07
CLF,19,7,0,2023-08-05
CLF,20,7,0,2023-08-06
CLF,21,7,0,2023-08-05
CLF,22,7,0,2023-08-05
CLF,23,7,0,2023-08-05
CLF,24,7,0,2023-08-05
CLF,25,7,0,2023-08-05
CLF,26,7,0,2023-08-05
CLF,27,7,0,2023-08-06
CLF,28,7,0,2023-08-05
CLF,29,7,0,2023-08-05
CLF,30,7,0,2023-08-05
CLF,31,7,0,2023-07-30
CLF,32,7,0,2023-08-05
CLF,33,7,0,2023-08-05
CLF,34,7,0,2023-08-05
CLF,35,7,0,2023-08-05
CLF,36,7,0,2023-08-06
CLF,37,7,0,2023-08-06
CLF,38,7,0,2023-08-05
CLF,39,7,0,2023-08-05
CLF,40,7,0,2023-08-05
CLF,41,7,0,2023-08-06
CLF,42,7,0,2023-08-05
CLF,43,7,0,2023-08-05
CLF,44,7,0,2023-08-05
CLF,45,7,0,2023-08-06
CLF,46,7,0,2023-08-05
CLF,47,7,0,2023-07-30
CLF,48,7,0,2023-08-05
CLF,49,7,0,2023-08-05
CLF,50,7,0,2023-08-05
CLF,51,7,0,2023-08-05
CLF,52,7,0,2023-07-30
CLF,53,7,0,2023-08-05
CLF,54,7,0,2023-07-30
CLF,55,7,0,2023-08-05
CLF,56,7,0,2023-08-05
CLF,57,7,0,2023-08-05
CLF,58,7,0,2023-08-05
CLF,59,7,0,2023-08-05
CLF,60,7,0,2023-07-31
CLF,61,7,0,2023-08-06
CLF,62,7,0,2023-08-06
CLF,63,7,0,2023-08-02
CLF,64,7,0,2023-08-06
CLF,65,7,0,2023-08-06
CLF,66,7,0,2023-08-07
CLF,67,7,0,2023-08-06
CLF,68,7,0,2023-08-06
CLF,69,7,0,2023-08-06
CLF,70,7,0,2023-08-06
CLF,71,7,0,2023-08-02
CLF,72,7,0,2023-08-02
CLF,73,7,0,2023-08-06
CLF,74,7,0,2023-08-02
CLF,75,7,0,2023-08-06
CLF,76,7,0,2023-08-06
CLF,77,7,0,2023-08-06
CLF,78,7,0,2023-08-07
SAA,01,7,0,2023-08-10
SAA,02,7,0,2023-08-10
SAA,03,7,0,2023-08-10
SAA,04,7,0,2023-08-11
SAA,05,8,0,2023-08-10
SAA,06,7,0,2023-08-10
SAA,07,7,0,2023-08-10
SAA,08,7,0,2023-08-11
SAA,09,7,0,2023-08-10
SAA,10,7,0,2023-08-11
SAA,11,7,0,2023-08-11
SAA,12,7,0,2023-08-12
SAA,13,7,0,2023-08-11
SAA,14,7,0,2023-08-12
SAA,15,7,0,2023-08-12
SAA,16,7,0,2023-08-17
SAA,17,7,0,2023-08-14
SAA,18,7,0,2023-08-14
SAA,19,7,0,2023-08-14
SAA,20,8,0,2023-08-14
SAA,21,7,0,2023-08-14
SAA,22,7,0,2023-08-17
SAA,23,7,0,2023-08-18
SAA,24,7,0,2023-08-11
SAA,25,7,0,2023-08-18
SAA,26,7,0,2023-08-14
SAA,27,7,0,2023-08-18
SAA,28,7,0,2023-08-14
SAA,29,7,0,2023-08-14
SAA,30,7,0,2023-08-18
SAA,31,7,0,2023-08-17
SAA,32,7,0,2023-08-17
SAA,33,7,0,2023-08-17
SAA,34,7,0,2023-08-17
SAA,35,7,0,2023-08-19
SAA,36,7,0,2023-08-22
SAA,37,7,0,2023-08-18
SAA,38,7,0,2023-08-18
SAA,39,7,0,2023-08-18
SAA,40,7,0,2023-08-18
SAA,41,6,1,2023-08-19
SAA,42,6,1,2023-08-20
SAA,43,5,2,2023-08-20
SAA,44,7,0,2023-08-20
SAA,45,5,2,2023-08-13
SAA,46,5,2,2023-08-13
SAA,47,4,3,2023-08-13
SAA,48,3,4,2023-08-13
SAA,49,3,4,2023-08-13
SAA,50,7,0,2023-08-13
SAA,51,4,3,2023-08-13
SAA,52,5,2,2023-08-13
SAA,53,4,3,2023-08-13
SAA,54,5,2,2023-08-14
SAA,55,5,1,2023-08-14
SAA,56,6,1,2023-08-14
SAA,57,4,3,2023-08-14
SAA,58,5,2,2023-08-15
SAA,59,4,3,2023-08-15
SAA,60,6,1,2023-08-15
SAA,62,6,1,2023-08-15
SAA,63,5,2,2023-08-15
SAA,64,5,2,2023-08-15
SAA,65,4,3,2023-08-15
SAA,66,6,1,2023-08-15
SAA,67,6,1,2023-08-15
SAA,68,4,3,2023-08-15
SAA,69,4,3,2023-08-15
SAA,70,3,4,2023-08-15
SAA,71,6,1,2023-08-15
SAA,72,2,5,2023-08-17
SAA,73,5,2,2023-08-17
SAA,74,4,3,2023-08-17
SAA,75,5,2,2023-08-17
SAA,76,4,3,2023-08-17
SAA,77,3,4,2023-08-17
SAA,78,6,1,2023-08-17
SAA,79,5,2,2023-08-17
SAA,80,2,5,2023-08-17
SAA,81,5,2,2023-08-17
SAA,82,2,5,2023-08-17
SAA,83,3,4,2023-08-17
SAA,84,3,4,2023-08-17
SAA,85,4,3,2023-08-17
SAA,86,3,4,2023-08-17
SAA,87,6,1,2023-08-17
SAA,88,5,2,2023-08-17
SAA,89,6,1,2023-08-17
SAA,90,7,0,2023-08-17
SAA,91,4,3,2023-08-18
SAA,92,6,1,2023-08-18
SAA,93,3,4,2023-08-18
SAA,94,3,4,2023-08-18
SAA,95,4,3,2023-08-18
SAA,96,6,1,2023-08-18
SAA,97,5,2,2023-08-18
SAA,98,4,3,2023-08-19
SAA,99,7,0,2023-08-19
SAA,100,2,5,2023-08-19
SAA,101,2,5,2023-08-19
SAA,102,6,1,2023-08-19
SAA,103,5,2,2023-08-19
SAA,104,5,2,2023-08-19
SAA,105,4,3,2023-08-19
SAA,106,5,2,2023-08-19
SAA,107,6,1,2023-08-19
SAA,108,5,2,2023-08-20
SAA,109,6,1,2023-08-20
SAA,110,4,3,2023-08-20
SAA,111,4,3,2023-08-20
SAA,112,6,1,2023-08-20
SAA,113,3,4,2023-08-20
SAA,114,6,1,2023-08-20
SAA,115,5,2,2023-08-20
SAA,116,3,3,2023-08-20
SAA,117,6,1,2023-08-20
SAA,118,4,2,2023-08-20
SAA,119,6,1,2023-08-21
SAA,120,5,2,2023-08-21
SAA,121,1,0,2023-08-21
SAA,122,7,0,2023-08-21
SAA,123,4,3,2023-08-21
SAA,124,6,1,2023-08-22
SAA,125,6,1,2023-08-22
SAA,126,5,2,2023-08-22
SAA,127,5,2,2023-08-22
SAA,128,4,3,2023-08-22
SAA,129,3,4,2023-08-22
SAA,130,4,3,2023-08-22
SAA,131,3,4,2023-08-22
SAA,132,5,2,2023-08-23
SAA,133,4,3,2023-08-23
